OriginCode,DialCode,Rate,Currency,Carrier,EffectiveDate,Increment,Destination
1,1,0.010923,USD,Bandwidth,,/,US-US
1,44,0.10000,USD,Bandwidth,,/,US-UK
1,9376,0.30923,USD,Bandwidth,,/,US-Afghanistan - Areeba Mobile
1268464,1268464,0.35498,USD,Bandwidth,,/,Antigua & Barbuda - Mobile
1268713,1268713,0.35498,USD,Bandwidth,,/,Antigua & Barbuda - Mobile
1268713,1268714,0.35498,USD,Bandwidth,,/,Antigua & Barbuda - Mobile
1268713,1268715,0.35498,USD,Bandwidth,,/,Antigua & Barbuda - Mobile
1268713,1268716,0.35498,USD,Bandwidth,,/,Antigua & Barbuda - Mobile
33,44,0.030923,USD,Bandwidth,,/,France-UK
33,45,0.030923,USD,Bandwidth,,/,France-Denmark
35,44,0.030923,USD,Bandwidth,,/,Denmark-UK
44,44,0.030923,USD,Bandwidth,,/,UK-UK
44,45,0.150923,USD,Bandwidth,,/,UK-Denmark
45,44,0.0635498,USD,Bandwidth,,/,Denmark-UK
44,44,0.03923,USD,Bandwidth,,/,UK-UK
45,44,0.06498,USD,Bandwidth,,/,DENMARK-UK
45,45,0.06498,USD,Bandwidth,,/,DENMARK-DENMARK
ALL,1,0.70923,USD,Bandwidth,,/,US-US
ALL,1268464,0.035498,USD,Bandwidth,,/,ALL-Antigua & Barbuda - Mobile
ALL,1268713,0.035498,USD,Bandwidth,,/,ALL-Antigua & Barbuda - Mobile
ALL,1268714,0.035498,USD,Bandwidth,,/,ALL-Antigua & Barbuda - Mobile
ALL,1268715,0.035498,USD,Bandwidth,,/,ALL-Antigua & Barbuda - Mobile
ALL,1268716,0.035498,USD,Bandwidth,,/,ALL-Antigua & Barbuda - Mobile
ALL,33,0.030923,USD,Bandwidth,,/,ALL-FRANCE
ALL,34,0.030923,USD,Bandwidth,,/,ALL-SPAIN
ALL,44,0.030923,USD,Bandwidth,,/,ALL-UK
